Date;Time;Station;AQI;Humidity;Temperature;Precipitation;PM2.5
4/16/24;23:00:00;Халқлар дўстлиги;77,0772532188841;99,9;13,55;0;24,5
2024-04-16;22:00:00;Халқлар дўстлиги;69,7167381974249;99,9;13,9;0;21
2024-04-16;21:00:00;Халқлар дўстлиги;71,8197424892704;99,9;14,4;0;22
2024-04-16;20:00:00;Халқлар дўстлиги;70,7682403433476;99,9;14,9;0;21,5
2024-04-16;19:00:00;Халқлар дўстлиги;65,5107296137339;99,9;15,9;0;19
2024-04-16;18:00:00;Халқлар дўстлиги;59,2017167381974;99,9;15,9;0;16
2024-04-16;17:00:00;Халқлар дўстлиги;59,2017167381974;99,7;15,25;0,4;16
2024-04-16;16:00:00;Халқлар дўстлиги;59,2017167381974;92,65;16,9;3;16
2024-04-16;15:00:00;Халқлар дўстлиги;56,0472103004292;87,3;18,25;0;14,5
2024-04-16;14:00:00;Халқлар дўстлиги;52,8927038626609;89,1;17,15;0;13
2024-04-16;13:00:00;Халқлар дўстлиги;52,8927038626609;95,55;16;0;13
2024-04-16;12:00:00;Халқлар дўстлиги;64,4592274678112;99,9;14,95;0;18,5
2024-04-16;11:00:00;Халқлар дўстлиги;71,8197424892704;99,9;14,5;0;22
2024-04-16;10:00:00;Халқлар дўстлиги;66,5622317596567;99,9;14,1;0;19,5
2024-04-16;09:00:00;Халқлар дўстлиги;72,8712446351931;99,9;13,8;0;22,5
2024-04-16;08:00:00;Халқлар дўстлиги;78,1287553648069;99,9;13,65;0;25
2024-04-16;07:00:00;Халқлар дўстлиги;78,1287553648069;99,9;13,4;0;25
2024-04-16;06:00:00;Халқлар дўстлиги;81,2832618025751;99,9;13,4;0;26,5
2024-04-16;05:00:00;Халқлар дўстлиги;73,9227467811159;99,9;13,45;0;23
2024-04-16;04:00:00;Халқлар дўстлиги;73,9227467811159;99,9;13,6;0;23
2024-04-16;03:00:00;Халқлар дўстлиги;79,1802575107296;99,9;13,8;0;25,5
2024-04-16;02:00:00;Халқлар дўстлиги;71,8197424892704;99,9;14;0;22
2024-04-16;01:00:00;Халқлар дўстлиги;71,8197424892704;99,9;14;0;22
2024-04-16;00:00:00;Халқлар дўстлиги;70,7682403433476;99,9;14,25;0;21,5
2024-04-15;23:00:00;Халқлар дўстлиги;81,2832618025751;99,9;14,55;0;26,5
2024-04-15;22:00:00;Халқлар дўстлиги;78,1287553648069;99,9;14,65;0;25
2024-04-15;21:00:00;Халқлар дўстлиги;82,3347639484979;99,9;15,1;0;27
2024-04-15;20:00:00;Халқлар дўстлиги;74,9742489270386;99,9;15,1;0;23,5
2024-04-15;19:00:00;Халқлар дўстлиги;62,3562231759657;99,9;15,35;0;17,5
2024-04-15;18:00:00;Халқлар дўстлиги;65,5107296137339;99,9;15,6;0;19
